guid,title,ereserves,ereserves_txt,ill,ill_txt,archival,archival_txt,url_1,url_1_desc,url_2,url_2_desc,general
18,CPI.Q,Yes,"Libraries may incorporate parts of CPI.Q into course packs and electronic reserve collections for use by authorized users in the course of instruction at your institution. Each such item must carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and Gale. These copies must be deleted when they are no longer being used for such purpose. Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to authorized users who are visually impaired. [Section 3.5]",Yes,"Libraries may supply to a library of a non-Member (whether by post, fax or secure transmission, using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing), for the purposes of research or private study and not for Commercial use, a single paper copy of an electronic original of an individual document being part of the Licensed Materials. [Section 3.4]",No,"Upon termination of the subscription, libraries are no longer permitted access to the CPI.Q database. [Section 7.3]",http://www.coppul.ca/licenses/scans/CPIQ.pdf,CPI.Q License Agreement,,,CPI.Q is a Consortia Canada license negotiated on behalf of participating members of Consortia Canada by the British Columbia Electronic Library Network (ELN).
19,CRC Handbook of Chemistry and Physics,Yes,5. Rights and Obligations of the Licensee or Authorized User <p> 5.8 A link to the Licensed Material may be incorporated in Electronic Reserve collections or Electronic Learning Environments.,Yes,"5. Rights and Obligations of the Licensee or Authorized User <p> 5.6 Interlibrary loan by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.",No,,http://www.coppul.ca/licenses/scans/TaylorFrancis_Redacted.pdf,Taylor & Francis License Agreement,,,
20,ProQuest,Yes,"3.7 Course Packs / Electronic Reserves / Virtual Learning. <p> Members and Authorized Users may incorporate parts of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication) so long as each work is retrieved directly from the Licensor’s on-line database system in a manner that causes a “hit” to be registered on the on-line system for each time an Authorized User views the work on reserve and for each and every print or digital copy. Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner. Copies of such items shall be deleted by the Member when they are no longer used for such purpose. Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users. <p> If the Licensor does not have the right to grant all rights under 3.7, these rights will apply exclusively to the content for which the Licensor does have such rights, as specified in the attached Schedule(s).",Yes,"3.3 INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws provided that the loan is not done in a manner or magnitude that would replace the recipient library’s own subscription to either the Licensed Materials or the purchase of the underlying Work (e.g., newspaper, magazine, or book).",No,,http://www.coppul.ca/licenses/scans/ProQuest_Electronic_Products_License_Agreement_Redacted.pdf,ProQuest Electronic Products License Agreement,,,
21,e-Duke Journals Scholarly Collection Site License,Yes,"4. Permitted Use and Prohibitions <br> Coursepacks: Copies for course or research use that are supplied to the end user at no cost may be made without explicit permission or fee. Copies that are provided to the end user for a copying fee may not be made without payment of permission fees to Duke University Press. <p> Electronic reserves: Articles for course or research use that are supplied to the end user at no cost may be made without explicit permission or fee. Articles that is provided to the end user for a fee of any sort may not be made without payment of permission fees to Duke University Press. E-reserves should be posted on a secure site accessible to class members only, and articles purged from the e-reserve system at the end of each semester.",Yes,"4. Permitted Use and Prohibitions <br> Interlibrary loan: A hard copy printed from the electronic files of the e-Duke Scholarly Collection may be supplied to another institution by mail or fax or secure transmission using Ariel or its equivalent (whereby the electronic file is deleted immediately after printing). The supply of such copies must comply with CONTU (National Commission on New Technological Uses of Copyrighted Works) guidelines or similar restrictions to ""fair use"" provisions under copyright law.",Yes,"3. Access and Availability <br> Members will have perpetual rights to the titles they purchase, but will lose access to the backlist titles if there is no purchase activities in the future year.",http://www.coppul.ca/licenses/scans/Duke.pdf,e-Duke Journals Scholarly Collection Site License,,,
22,e-Duke Books Scholarly Collection Site License,Yes,"4. Permitted Use and Prohibitions <br> Coursepacks: Within printing limitations, copies for course or research use that are supplied to the end user at no cost may be made without explicit permission or fee. Copies that are provided to the end user for a copying fee may not be made without explicit permission from Duke University Press. <p> Electronic reserves: Content for course or research use that are supplied to the end user at no cost may be made without explicit permission or fee. Content that is provided to the end user for a fee of any sort may not be made without explicit permission from Duke University Press.",Yes,"4. Permitted Use and Prohibitions <br> Interlibrary loan: A hard copy printed from the electronic version of the e-Duke Books Scholarly Collection may be supplied to another institution by mail or fax or secure transmission using Ariel or its equivalent (whereby the electronic file is deleted immediately after printing). The supply of such copies must comply with CONTU (National Commission on New Technological Uses of Copyrighted Works) guidelines or similar restrictions to ""fair use"" provisions under copyright law.",Yes,"3. Access and Availability <br> Members will have perpetual rights to the titles they purchase, but will lose access to the backlist titles if there is no purchase activities in the future year. <p> Duke University Press reserves the right to collect a reasonable ongoing maintenance fee from institutions that are not current customers but wish to maintain access to their purchased content.",http://www.coppul.ca/licenses/scans/Duke_eBooks_Redacted.pdf,e-Duke Books Scholarly Collection Site License,,,
23,Ebrary Academic Complete,Yes,"2.b.ix. provide links to Ebrary full text content in course pages, e-syllabi, e-reserves, and electronic learning environments such as but not restricted to systems such a Blackboard.",Yes,"2.b.vi. utilize Ebrary ebooks for the purposes of fulfilling interlibrary loan requests, provided that the Participating Member complies with all applicable interlibrary loan laws and regulations.",No,"5. Term and Termination. At the expiry of this Agreement, the Licensee will not keep in his possession any data of the Ebrary products for further use or for archival reasons, nor give further access to the products unless explicitly agreed with Ebrary.",http://www.coppul.ca/licenses/scans/ebrary_Academic_Complete_Addendum_Redacted.pdf,Ebrary - Addendum to ProQuest/COPPUL License ;,http://www.coppul.ca/licenses/scans/ProQuest_Electronic_Products_License_Agreement_Redacted.pdf,ProQuest Electronic Products License Agreement,
24,EBSCO,Yes,"E-RESERVES - PERMITTED <p> COURSE PACKS - NOT PERMITTED <p> 3.7 ELECTRONIC RESERVES / VIRTUAL LEARNING <br> Members and Authorized Users may incorporate parts of the Licensed Material in resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication). Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner. <b>Permission to include content in course packs is NOT included under the terms of this license.</b>",Yes,"3.3 INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.",No,,http://www.coppul.ca/licenses/scans/EBSCO_Redacted.pdf,EBSCO License Agreement,,,"Permitted Uses under Section 3 apply to the vast majority of content in EBSCO databases. However, publishers may impose their own conditions of use applicable only to their content. Such conditions of use shall be displayed on the computer screen displays associated with such content."
25,HRAF Archaeology License Agreement,No,,Yes,May make use of the materials in eHRAF as is consistent with the Fair Use Provisions of United States and international copyright laws,NA,,http://www.coppul.ca/licenses/scans/eHRAF1.pdf,HRAF Archaeology License Agreement,,,
26,HRAF World Cultures License Agreement,No,,Yes,May make use of the materials in eHRAF as is consistent with the Fair Use Provisions of United States and international copyright laws.,NA,,http://www.coppul.ca/licenses/scans/eHRAF2.pdf,HRAF World Cultures License Agreement,,,
27,Emerald Full Text,Yes,"2.1.4 Authorize current members of the staff of the Licensee to make print or electronic copies of multiple extracts of the Licensed Material and incorporate parts of the Licensed Material in printed or electronic collections of material provided that such collections and the use of such collections is solely for the purpose of instruction at, and undertaken by current staff members of, the Licensee. Each such item shall carry appropriate acknowledgement, listing: (a) the title and author of the extract and; (b) Emerald as the owner of the copyright in the extract. Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.",Yes,"2.1.5 Supply another library a single print copy of an electronic original of an individual document being part of the Licensed Materials. Supply shall be by post, fax or secure transmission (using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing) for the purposes of research or private study and not for commercial use.",Yes,"6.3 Members and Authorized Users may perpetually access content added to the Licensed Materials to which the Consortium subscribed during the term of this Agreement. Perpetual access may be provided by local loading of the content by Consortium or Member, for access as provided for under this Agreement, or at the vendor's site after termination of the remainder of the contract, in which case reasonable fee(s) for ongoing access may apply. <p> The Consortium or Member may participate in networks with other Libraries or Consortia for the purposes of ensuring preservation (e.g., LOCKSS networks), but not for providing access to other members of such networks not included in this Agreement.",http://www.coppul.ca/licenses/scans/Emerald.pdf,Emerald Consortium License,,,
28,Euclid Prime,Yes,"4. Permitted Use and Prohibitions <p> Coursepacks: Copies for course or research use that are supplied to the end user at no cost may be made without explicit permission or fee. Copies that are provided to the end user for a copying fee may not be made without payment of permission fees to Duke University Press. <p> Electronic reserves: Articles for course or research use that are supplied to the end user at no cost may be made without explicit permission or fee. Articles that are to the end user for a fee of any sort may not be made without payment of permission fees to Duke University Press. E-reserves should be posted on a secure site accessible to class members only, and articles purged from the e-reserve system at the end of each semester.",Yes,4. Permitted Use and Prohibitions <p> Interlibrary loan: A hard copy printed from the electronic files of Euclid Prime may be supplied to another institution by mail or fax or secure transmission using Ariel or its equivalent (whereby the electronic file is deleted immediately after printing). The supply of such copies must conform to CONTU (National Commission on New Technological Uses of Copyrighted Works) guidelines or similar restrictions to “fair use” provisions under copyright law.,Yes,"3. Access and Availability <br> Members will have perpetual rights to the titles they purchase, but will lose access to the backlist titles if there is no purchase activities in the future year.",http://www.coppul.ca/licenses/scans/Euclid.pdf,Euclid Prime Site License Agreement,,,
30,GeoBase,Yes,"1.3 Authorized Uses <p>-incorporate <b>links</b> to the Subscribed Products in electronic coursepacks, reserves, and course managment systems.",No,,No,,http://www.coppul.ca/licenses/scans/Geobase_Redacted.pdf,"Elsevier Subscription Agreement,",http://www.coppul.ca/licenses/scans/Geobase_4th_Amendment_2013_Redacted.pdf,GeoBase 4th Amendment 2013,
31,GeoScience World,Yes,"3.2.4 Incorporate parts of the Licensed Material in Electronic Reserves for the use of Authorized Users in the course of instruction, or research, and create multiple copies of a discrete excerpt from the Licensed Material for classroom instruction use, or for research purposes, consistent with existing ""fair use"" or “fair dealing” law and regulation, and provided that each such copy carries appropriate acknowledgment of the title and author of the material, and its source (publication title, volume, issue, date), publisher, and copyright, and further provided that each electronic copy of such items are deleted when no longer required for such purpose. Print Course Packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Member, have a visual, perceptual, or physical disability.",Yes,"3.1.4 Provide interlibrary loans of single printed articles or copies of single articles provided via Arial software or print to Web, where the electronic copy can only be printed, at the request of institutions and organizations with which the Subscriber customarily maintains interlibrary loan arrangements.",Yes,"11.4 On the non-renewal or termination after a minimum of one year of this License Agreement, other than as provided for in Sub-section 11.2, GSW will, within a reasonable period, make available to the Consortium, at Consortium’s option, either of the post-termination services provided for in Sub-sections 11.4.1 or 11.4.2, which will in either case be solely for the Consortium’s own use, and will be subject to use only by Consortium, its Members and their Authorized Users under the same rights, restrictions and prohibitions as if this License Agreement was still in effect. <p> 11.4.1 Continued online access from the GSW server to the volumes and issues of publications in the GeoScienceWorld Millennium Collection for dates of the Subscription Period. Said continued online access will be subject to an annual maintenance fee. Or, <p> 11.4.2 GSW will supply participating Members of the Consortium with a machine-readable, digital copy in a mutually acceptable format of the GeoScienceWorld Millennium Collection for dates of the Subscription Period. Said electronic copy will be subject to a one-time production fee and will be in an offline media commonly in use at the time.",http://www.coppul.ca/licenses/scans/GSW_License_2013_Redacted.pdf,GeoScience World Subscriber License Agreement,,,
32,ICPSR Federation Agreement,NA,,NA,,NA,,http://www.coppul.ca/licenses/scans/ICPSR.pdf,ICPSR Federation Agreement,,,
33,IEEE/IEE Electronic Library (IEL),Yes,"3(b) (7) post a reasonable number of Articles or eBooks per semester, per course in PDF or HTML format for the purposes of electronic course reserves on Licensee’s internal, secured computer network accessible only to Authorized Users, provided that Licensee removes them within ninety (90) days after the conclusion of the course; incorporate parts of the Licensed Product in print course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication); Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner. Course packs in other formats, such as Braille, may also be offered to Authorized Users;",Yes,"3(b)(8): as part of the practice commonly known as ""interlibrary loan,"" deliver a reasonable number of copies of Articles (including through use of Ariel or a substantially similar interlibrary loan transmission software) to fulfill requests from a non-commercial library of a non-Member for the purposes of research or private study and not for Commercial Use; provided, however, that such practice: (i) complies with Canadian copyright law and is compliant with any additional applicable industry standards; (ii) does not result in systematic reproduction of the License Products, any journal or issue of a journal, any Article, or any portion of the foregoing; and (iii) <b>must not be used for any IEEE Standards.</b>",Yes,"9. Archival Access <p> Upon termination of this Agreement, except in the event of termination by IEEE pursuant to Section 5(b), Licensee may obtain one (1) static copy of the Licensed Products in a mutually agreeable format containing content published between the Service Date and termination date of this Agreement by paying the then-applicable fee assessed by IEEE for access. The archival file shall not include any IEEE Standards Online Packages, eBooks or content licensed by IEEE from third-party content providers or for which IEEE otherwise does not have the right to provide archival access. IEEE shall provide the static file to Licensee on a USB drive or comparable media. Licensee shall have a non-exclusive, non-transferable license to use the archival file only in accordance with the same terms and conditions that govern the use of Licensed Products under this Agreement. Licensee is authorized to make such further copies of the archival file in perpetuity as it may deem necessary for purposes of archival preservation, refreshing, or migration, including migration to other formats, so long as the purpose of such copying is solely for continued use and/or archival retention of the data and does not violate or extend the use rights contained in this Agreement.",http://www.coppul.ca/licenses/scans/IEL_License_2013_2016_Redacted.pdf,IEEE Online Products Agreement (Academic),,,
34,International Encyclopedia of the Social & Behavioral Sciences,Yes,"1.3 Authorized Uses. <p> 1.3.3 Incorporated links to Excerpts on the Subscriber's intranet or internet wesites, provides that the appearance of such links and/or statements accompanying such links shall be changed as reasonably requested by the Licensor.",No,,No,,http://www.coppul.ca/licenses/scans/IESBS_License_2011_2012_Redacted.pdf,"Elsevier Subscription Agreement,",http://www.coppul.ca/licenses/scans/IESBS_First_Amendment_2014_Redacted.pdf,First Amendment 2014,
35,Inspec,Yes,"1.3 Authorized Uses. <br> - incorporate links to the Subscribed Products on the Subscriber’s intranet and internet websites and in electronic coursepacks, reserves and course management systems, provided that the appearance of such links and/or statements accompanying such links shall be changed as reasonably requested by Elsevier.",No,,No,,http://www.coppul.ca/licenses/scans/Inspec_Redacted.pdf,"Elsevier Subscription Agreement,",http://www.coppul.ca/licenses/scans/Inspec_Amendment_2_2014_Redacted.pdf,2nd Amendment 2014,
36,JoVE,Yes,"4. COURSE PACKS AND ELECTRONIC RESERVE <p> For the avoidance of doubt, the Licensee may incorporate a reasonable portion of the text articles in the Licensed Materials in Course Packs or Electronic Reserve collections for use in connection with specific courses of instruction offered by the Licensee to the authorized users. Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.",Yes,"3.2 Using secure electronic, paper, or intermediated means such as Ariel, Licensee may fulfil occasional requests for text articles in the Licensed Materials from other institutions, a practice commonly called Interlibrary Loan. <p> Nothing in this License shall in any way exclude, modify or affect any of the Licensee’s statutory rights under the doctrine of “fair dealing” as defined under the laws of Canada, or as permitted under Creative Commons licensing. The Licensee acknowledges that all right, title and interest in and to the Licensed Materials and any and all copyrights regarding the Licensed Materials remain with the Publisher and that the unauthorized redistribution of the Licensed Materials could materially harm the Publisher. It is understood and agreed that, except as stated elsewhere in this Section 3.2, neither the Licensee nor any Authorized Users may provide, by electronic means, to a user at another library or institution or otherwise a copy of any part of the Licensed Materials for research or private study or otherwise.",Yes,"2.3 On termination of this License, the Publisher shall provide continuing access for Authorized Users to that part of the Licensed Materials which was published and paid for within the Subscription Period, either from the Server, or from the Licensee’s server, or by supplying either electronic downloadable files or DVD’s to the Licensee, except where such termination is due to a breach of the License by the Licensee which the Licensee has failed to remedy as provided in 9.1.1 and 9.1.3 of this License, in which case such continuing access shall be provided in respect of Licensed Materials published up to the date of such breach. The Consortium or Member may participate in networks with other Libraries or Consortia for the purposes of ensuring preservation (e.g., LOCKSS networks), but not for providing access to other members of such networks not included in this Agreement.",http://www.coppul.ca/licenses/scans/JoVE_Redacted.pdf,JoVE License Agreement,,,
