licence_id,begins,ends,ereserves,ereserves_txt,ill,ill_txt,archival,archival_txt,db_id,url_1,url_1_format,url_2,url_2_format,general
270,4/1/2015,3/31/2016,Yes,"<P>E-reserves and coursepacks permitted.  PLEASE NOTE REQUIREMENT TO REGISTER A ""HIT"" ON THE LICENSOR'S ON-LINE PLATFORM for coursepacks.</P>

<P>Details:</P>
<P>
COURSEPACKS  / ELECTRONIC RESERVES / VIRTUAL LEARNING.
Members and Authorized Users may incorporate a reasonable portion of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication) so long as a ìhitî is registered on Licensorís on-line platform each time an article is accessed for the CoursePack.  Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner.  Copies of such items shall be deleted by the Member when they are no longer used for such purpose.  Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.
<BR>[3.1.8]</P>",Yes,"INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan  practices and applicable copyright laws provided that the loan is not done in a manner or magnitude that would replace the recipient libraryís own subscription             to either the Products or the purchase of the underlying Work (e.g., newspaper,  magazine, or book).<BR>[3.1.3]",No,ELN's license agreement does not provide for archival access.,20,http://eln.bc.ca/bcelnproquestfinal2008.pdf,[Link],,,
271,10/1/2014,9/30/2015,Yes,"<P>E-reserves and coursepacks permitted.  PLEASE NOTE REQUIREMENT TO REGISTER A ""HIT"" ON THE LICENSOR'S ON-LINE PLATFORM for coursepacks.</P>

<P>Details:</P>
<P>
COURSEPACKS  / ELECTRONIC RESERVES / VIRTUAL LEARNING.
Members and Authorized Users may incorporate a reasonable portion of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication) so long as a ìhitî is registered on Licensorís on-line platform each time an article is accessed for the CoursePack.  Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner.  Copies of such items shall be deleted by the Member when they are no longer used for such purpose.  Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.
<BR>[3.1.8]</P>",Yes,"INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan  practices and applicable copyright laws provided that the loan is not done in a manner or magnitude that would replace the recipient libraryís own subscription             to either the Products or the purchase of the underlying Work (e.g., newspaper,  magazine, or book).<BR>[3.1.3]",No,ELN's license agreement does not provide for archival access.,17,http://eln.bc.ca/bcelnproquestfinal2008.pdf,[Link],,,
272,7/1/2003,6/30/2004,Yes,"ELN partner libraries may incorporate parts of ECO into printed course packs or electronic reserves.

<br>
[Section 3.1.5]",No,"The Early Canadiana Online database cannot be used for document delivery.  Written permission must first be obtained from the publisher, CIHM.

<br>
[Section 4.2.2]",No,"Access to the database ceases upon termination of the subscription.

<br>
[Section 7.1.3]",22,http://www.eln.bc.ca/docs/view.php?id=112,[Link],,,
273,10/1/2014,9/30/2015,No,"<P>Incorporation of Britannica Online in course packs is not permitted.

<br>
[Section 3]</BR></P>

<P>Incorporation of Britannica Online in electronic reserves collections is also not permitted.
<br>
[Section 3]</BR></P>",Yes,"<P>The use of limited portions of Britannica Online for the fulfillment of interlibrary loan requests is permitted, in accordance with Canadian copyright law. 
<br>
[Section 3]</Br></P>",No,"<P>Upon termination of the license, access to Britannica Online will cease. 
<br>
[Section 8]</BR></P>",24,http://www.eln.bc.ca/docs/view.php?id=491,[Link],,,
274,7/1/2006,6/30/2007,Yes,"Permission is granted to incorporate parts of the database into course packs, but not more than 1% of the aggregate of the Licensed Materials.

<BR>
[Section 2.1(d)]

<P>
ELN partner libraries may also use the database for electronic reserve collections as long as access to the material is by means of a secure network connection.

<BR>
[Section 2.1(a)]",No,"The publisher, Nature, Inc., forbids use of the database for interlibrary loan.

<BR>
[Section 3(b)]",No,"Upon termination of the subscription, all access to the database ceases.

<BR>
[Section 4.1]",23,http://www.eln.bc.ca/view.php?id=988,[Link],,,
381,10/1/2014,9/30/2015,No,"PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses are allowed, from within secure authentication environments
[section 3.4.2]

ELECTRONIC RESERVES / VIRTUAL LEARNING: Members and Authorized Users may incorporate parts of the Licensed Material in resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication). Each item shall carry appropriate acknowledgment of the source, listing title and copyright owner.

Permission to include content in coursepacks is NOT included under the terms of this license.
[section 3.5]",Yes,"Perform interlibrary loan by paper or electronic means of a single copy of
an individual document within the guidelines of traditional interlibrary loan
practices and applicable copyright laws [3.4.3]",No,,150,http://www.eln.bc.ca/docs/view.php?id=410,[Link],,,
275,11/1/2014,10/31/2015,No,"<P>PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses are allowed, from within secure authentication environments <BR>[section 3.1.2]</P>

<P>ELECTRONIC RESERVES / VIRTUAL LEARNING:  Members and Authorized Users may incorporate parts of the Licensed Material in resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication).  Each item shall carry appropriate acknowledgment of the source, listing title and copyright owner.</P>

<P>Permission to include content in coursepacks is NOT included under the terms of this license. <BR>[section 3.1.8]</P>",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, Members may INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.<BR> [section 3.1.3]",No,"Once the subscription is terminated, ELN partner libraries no longer have access to the database.
<br> [Section 7.4] </br>",25,http://www.eln.bc.ca/docs/view.php?id=410,[Link],,,
276,8/1/2004,7/31/2005,unavail,,unavail,,unavail,,6,http://www.hwwilson.com/abouthw/weblic.htm,[Link],,,
277,7/1/2014,6/30/2015,Yes,"<P>ELN partner libraries may incorporate portions of the OED into printed course packs for use by Authorized Users in a course of instruction at their educational institution. Each portion of the Licensed Works used in this manner should be identified with an appropriate acknowledgment of the source, listing the title and author of the extract, title and author of the work, and ""Oxford University Press"" as the publisher. Course packs in non-print forms, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable belief of the Subscriber, are visually impaired.
<BR>[Section 3.2]</BR></P>

<P>ELN partner libraries may incorporate portions of the OED into electronic reserves collections for use by Authorized Users in a course of instruction at their educational institution. Each portion of the Licensed Works used in this manner should be identified with an appropriate acknowledgment of the source, listing the title and author of the extract, title and author of the work, and ""Oxford University Press"" as the publisher. Copies of such extracts must be deleted by the Subscriber or Authorized User when the extracts are no longer being used in the course of instruction.
<BR>[Section 3.2]</BR></P>",No,"<P>Oxford University Press prohibits the use of the OED for the fulfillment of interlibrary loan requests.
<BR>[Section 4.2.2]</BR></P>",No,"<P>Upon termination of the subscription, all access to the OED ceases.
<BR>[Section 7]</BR></P>",12,http://www.eln.bc.ca/docs/view.php?id=235,[Link],,,
278,4/1/2009,3/31/2010,Yes,"BC ELN partner libraries may create ereserves by linking to individual articles in PsycINFO for the use of Authorized Users in the course of instruction.  It is not permitted to host electronic copies of articles on a local server, nor is it permitted to reproduce content in any format for use in Course Pack. 

<br>[Section 5.1] </br>",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, ILL of a single article is permitted using a printout from the electronic original.

<p>
The copy may be provided by post, fax or secure transmission using Ariel or its equivalent.  If transmitting via Ariel, the electronic file must be deleted immediately after printing.

<p>
ILL is permitted for the purpose of research and private study only, not for commercial use.

<BR>
[Section 4.1]",No,"Once the subscription is terminated, BC ELN partner libraries no longer have access to the database.",11,http://www.eln.bc.ca/docs/view.php?id=54,[Link],,,
279,8/1/2004,7/31/2005,unavail,,unavail,,unavail,,7,http://www.hwwilson.com/abouthw/weblic.htm,[Link],,,
280,8/1/2004,7/31/2005,unavail,,unavail,,unavail,,8,http://www.hwwilson.com/abouthw/weblic.htm,[Link],,,
281,6/1/2008,5/31/2009,No,The Reveal Research Alerts may not be used for inclusion in course packs or electronic reserve collections.,NA,,No,There is no archival access to the Reveal service after the expiry of the license.,10,http://www.eln.bc.ca/docs/view.php?id=85,[Link],,,
358,1/1/2015,12/31/2015,unavail,,notspec,,No,"<P> Upon termination of the subscription, access to LexisNexis Academic ceases.
<BR>[Section 1]</BR></P>",125,http://www.eln.bc.ca/docs/view.php?id=489,[Link],,,
282,6/1/2008,5/31/2009,NA,,NA,,No,,9,http://www.eln.bc.ca/docs/view.php?id=109,[Link],,,
283,6/1/2001,9/9/2999,No,"<P>Publishers have not given permission to allow any portion of an ebook to be used for course packs.
<BR>[Section 3.C ""Terms of Use""]</BR></P>


<P>Publishers have not given permission to allow any portion of an ebook to be used for electronic reserve collections.
<BR>[Section 3.C ""Terms of Use""]</BR></P>",No,"<P>Interlibrary loan is not permitted. Publishers have not granted  permission to use an ebook or any portion of an ebook for interlibrary loan.
<BR>[Section 3.C ""Terms of Use""]</BR></P>",Yes,"<P>ELN partner libraries have perpetual access to the ebook collection.  In the unlikely event that netLibrary ceases operations, netLibrary will deposit in escrow with OCLC a copy of the required software, ebook content, and appropriate documentation to allow for continued access to the ebook collection.  
<BR>[Attachment E]</BR></P>",29,http://www.eln.bc.ca/docs/view.php?id=110,[Link],http://www.eln.bc.ca/dbs/netlibraryeln05.pdf,pre-2005 Consortial Agreement (PDF),2005 license available from ELN Office.
284,6/1/2013,5/31/2014,No,"<P>PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses are allowed, from within secure authentication environments <BR>[section 3.1.2]</P>

<P>ELECTRONIC RESERVES / VIRTUAL LEARNING:  Members and Authorized Users may incorporate parts of the Licensed Material in resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication).  Each item shall carry appropriate acknowledgment of the source, listing title and copyright owner.</P>

<P>Permission to include content in coursepacks is NOT included under the terms of this license. <BR>[section 3.1.8]</P>",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, Members may INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.<BR> [section 3.1.3]",No,"Once the subscription is terminated, ELN partner libraries no longer have access to the database.

<br> [Section 7.4] </br>",31,http://www.eln.bc.ca/docs/view.php?id=410,[Link],,,
285,9/1/2003,8/31/2004,Yes,"Content from the database may be incorporated into course packs and electronic reserve collections solely for use by Authorized Users.  Use must meet the ""fair dealing"" standards of Canadian copyright law.

<BR>
[Section 5.1]",NA,Not applicable.,Yes,"Upon termination of the subscription, ABC-CLIO will provide continuing access to that portion of the Licensed Materials which was published and paid for within the Subscription Period, according to methods described in  clause 8.3 of the License Agreement.  

<BR>
[Section 2.3]",34,http://www.eln.bc.ca/docs/view.php?id=72,[Link],,,
286,9/1/2003,8/31/2004,Yes,"Content from Historical Abstracts may be incorporated into course packs and electronic reserve collections solely for use by Authorized Users.  Use must meet the ""fair dealing"" standards of Canadian copyright law.

<BR>
[Section 5.1]",NA,Not applicable.,Yes,"Upon termination of the subscription, ABC-CLIO will provide continuing access to that portion of the Licensed Materials which was published and paid for within the Subscription Period, according to methods described in clause 8.3 of the License Agreement. 

<BR>
[Section 2.3]",35,http://www.eln.bc.ca/docs/view.php?id=72,[Link],,,
287,10/1/2014,9/30/2015,Yes,"<P>ELN partner libraries may incorporate parts of the Encyclopedia into printed course packs for the use of Authorized Users in the course of instruction, but not for commercial use. Each such item shall carry appropriate acknowledgment of the source, listing title and author of the extract, title and author of the work, and the publisher.  Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who are visually impaired.
<br>[Section 2.5]</br></P>
<P>ELN partner libraries may also incorporate parts of the Encyclopedia into electronic reserves for the use of Authorized Users in in the course of instruction.
<br>[Section 2.5]</br></P>",Yes,"<P>ELN partner libraries may supply to a non-Licensor library (whether by post, fax or secure transmission, using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing), for the purposes of research or private study and not for commercial use, a single paper copy of an electronic original of an individual document that is part of the Encyclopedia.

<br>[Section 2.5]</br></p>",No,"Upon termination of the subscription, any and all use of the database is prohibited.

<br>[Section 7.2]",36,http://www.eln.bc.ca/docs/view.php?id=80,[Link],,,
289,7/1/2014,6/30/2015,Yes,"<P>ELN partner libraries may incorporate portions of Grove Music into printed course packs for use by Authorized Users in a course of instruction at their educational institution. Each portion of the Licensed Works used in this manner should be identified with an appropriate acknowledgment of the source, listing the title and author of the extract, title and author of the work, and ""Oxford University Press"" as the publisher. Course packs in non-print forms, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable belief of the Subscriber, are visually impaired.
<BR>[Section 3.2]</BR></P>

<P>ELN partner libraries may incorporate portions of Grove Music into electronic reserves collections for use by Authorized Users in a course of instruction at their educational institution. Each portion of the Licensed Works used in this manner should be identified with an appropriate acknowledgment of the source, listing the title and author of the extract, title and author of the work, and ""Oxford University Press"" as the publisher. Copies of such extracts must be deleted by the Subscriber or Authorized User when the extracts are no longer being used in the course of instruction.
<BR>[Section 3.2]</BR></P>",No,"<P>Oxford University Press prohibits the use of Grove Music for the fulfillment of interlibrary loan requests.
<BR>[Section 4.2.2]</BR></P>",No,"<P>Upon termination of the subscription, all access to Grove Music ceases.
<BR>[Section 7]</BR></P>",38,http://www.eln.bc.ca/docs/view.php?id=235,[Link],,,
290,11/1/2014,10/31/2015,No,"<P>PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses are allowed, from within secure authentication environments <BR>[section 3.1.2]</P>

<P>ELECTRONIC RESERVES / VIRTUAL LEARNING:  Members and Authorized Users may incorporate parts of the Licensed Material in resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication).  Each item shall carry appropriate acknowledgment of the source, listing title and copyright owner.</P>

<P>Permission to include content in coursepacks is NOT included under the terms of this license. <BR>[section 3.1.8]</P>",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, Members may INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.<BR> [section 3.1.3]",No,"Once the subscription is terminated, ELN partner libraries no longer have access to the database.

<br> [Section 7.4] </br>",39,http://www.eln.bc.ca/docs/view.php?id=410,[Link],,,
317,12/1/2014,11/30/2015,Yes,"<P>
May incorporate parts of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication).  Each item shall carry appropriate acknowledge of the source, listing title and copyright owner.  Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.  
<BR>
[Section 3.1.8]</P>

<P>
Persistent links:  May CREATE PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses under this Agreement, from within secure authentication environments. 
<BR>
[section 3.1.2]
</P>",Yes,"<P>May INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.  
<BR>
[Section 3.1.3]
</P>",No,,67,http://www.eln.bc.ca/docs/view.php?id=437,[Link],,,
291,8/1/2014,7/31/2015,Yes,"<P>
May incorporate parts of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication).  Each item shall carry appropriate acknowledge of the source, listing title and copyright owner.  Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users.  
<BR>
[Section 3.1.8]</P>

<P>
Persistent links:  May CREATE PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses under this Agreement, from within secure authentication environments. 
<BR>
[section 3.1.2]
</P>


<P> ELN partner libraries may also incorporate parts of CPI.Q into electronic reserves for the use of Authorized Users in the course of instruction. Each such item must carry appropriate acknowledgment of the source, listing title and author of the extract, title and author of the work, and Gale. These copies must be deleted when they are no longer being used for such purpose.
<BR> [Section 3.5]</BR></P>

<P> Libraries may also provide links to licensed materials from their own web pages. 
<BR>[Section 3.6]</BR></P>",Yes,"<P>May INTERLIBRARY LOAN by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.  
<BR>
[Section 3.1.3]
</P>",No,,41,http://www.eln.bc.ca/docs/view.php?id=437,[Link],,,
313,1/1/2015,12/31/2015,notspec,,notspec,,No,,63,http://www.eln.bc.ca/docs/view.php?id=163,[Link],,,
314,1/1/2015,12/31/2015,notspec,,notspec,,No,,64,http://www.eln.bc.ca/docs/view.php?id=162,[Link],,,
293,8/1/2009,7/31/2010,No,"PERSISTENT LINKS to individual articles for access by Authorized Users for Permitted Uses are allowed, from within secure authentication environments
[section 3.4.2]

ELECTRONIC RESERVES / VIRTUAL LEARNING: Members and Authorized Users may incorporate parts of the Licensed Material in resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication). Each item shall carry appropriate acknowledgment of the source, listing title and copyright owner.

Permission to include content in coursepacks is NOT included under the terms of this license.
[section 3.5]",Yes,"Perform interlibrary loan by paper or electronic means of a single copy of
an individual document within the guidelines of traditional interlibrary loan
practices and applicable copyright laws [3.4.3]",No,,43,http://www.eln.bc.ca/docs/view.php?id=442,[Link],,,
295,1/1/2005,12/31/2005,Yes,"ELN partner libraries may create ereserves by linking to individual articles in MAS Ultra - School Edition for the use of Authorized Users in the course of instruction.  It is not permitted to host electronic copies of articles on a local server, nor is it permitted to reproduce content in any format for use in Course Pack. 

<br>[Section 5.1] </br>",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, ILL of a single article is permitted using a printout from the electronic original. 

<P>
The copy may be provided by post, fax or secure transmission using Ariel or its equivalent. If transmitting via Ariel, the electronic file must be deleted immediately after printing. 

<P>
ILL is permitted for the purpose of research and private study only, not for commercial use. 

<br>
[Section 4.1]",No,"Once the subscription is terminated, ELN partner libraries  no longer have access to the database.",45,http://www.eln.bc.ca/docs/view.php?id=147,[Link],,,
296,1/1/2005,12/31/2005,Yes,"ELN partner libraries may create ereserves by linking to individual articles in Military and Government Collection for the use of Authorized Users in the course of instruction.  It is not permitted to host electronic copies of articles on a local server, nor is it permitted to reproduce content in any format for use in Course Pack. 

<br>[Section 5.1] </br>",Yes,"Unless indicated on the citation that the publisher specifically prohibits such, ILL of a single article is permitted using a printout from the electronic original. 

<P>
The copy may be provided by post, fax or secure transmission using Ariel or its equivalent. If transmitting via Ariel, the electronic file must be deleted immediately after printing. 

<P>
ILL is permitted for the purpose of research and private study only, not for commercial use. 

<br>
[Section 4.1]",No,"Once the subscription is terminated, ELN partner libraries  no longer have access to the database.",46,http://www.eln.bc.ca/docs/view.php?id=148,[Link],,,
