db_id,db_name,notes,content_producer,chron_coverage,content_types,more_info,usage_stats,vendor_id,title_lists,multiconsort_note,subscrib_notes
24,Encyclopedia Britannica Online Academic Edition,"Britannica Academic delivers fast and easy access to high-quality, comprehensive information. The rich combination of the insightful EncyclopÊdia Britannica plus Merriam-Websterís Collegiate Dictionary and Thesaurus, magazines and periodicals, and many other research tools provides the variety of reliable sources that students need to consult when conducting thorough researchóall from one resource. [From vendor] Last updated: May 12, 2015",Britannica,"Historical, current",FullText,http://info.eb.com/products/britannica-academic-edition/,"Upon request Encyclopaedia Britannica will send an administrative username and password which will allow libraries to access their statistics at www.statistics.eb.com""",49,#N/A,,
153,Grove Art Online,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,
154,Grove Music Online,NULL,NULL,NULL,NULL,NULL,NULL,NULL,#N/A,,
155,Oxford Dictionaries Online,"At Oxford Dictionaries, we have just one thing in mind: improving communication through an understanding and passion for language. That explains why weíve been making dictionaries for more than 150 years and why we continue to innovate and develop new tools and services to suit your language needs as technology and the world around us change. And thatís why today we create content for whoever you are ñ student or professional, writer or games puzzler, teacher or language learner ñ and for wherever you need it: online, mobile, or print.<p>For us, itís not only about defining words or charting the history of English in the OED. From the beginning, we have immersed ourselves in everything to do with language. As lexicographers and linguists, we collect, process, and analyse the living language and how itís changing, its history, its usage, its relations with other languages, and whoís using it, from highbrow to slang. The result is a new Oxford Dictionaries that promises to keep evolving to meet your needs, bringing you closer to English and a growing range of world languages.<p>[From vendor]<p>Updated: April 20, 2015""",Oxford University Press,,FullText,http://oxforddictionaries.com/words/about,,61,http://oxforddictionaries.com/,,
25,ERIC,"ERIC - the Education Resource Information Center, provides access to education literature and resources. The database provides access to information from journals included in the Current Index of Journals in Education and Resources in Education Index.<P>ERIC contains more than 1.3 million records and links to more than 337,000 full-text documents from ERIC back to 1966.<p>[From vendor]<p>Last updated: May 21, 2014""",U.S. Department of Education,1966 - present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/eric,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.eric.ed.gov/ERICWebPortal/journalList/journalList.jsp,,
12,Oxford English Dictionary,"The Oxford English Dictionary (OED) is widely regarded as the accepted authority on the English language. It is an unsurpassed guide to the meaning, history, and pronunciation of 600,000 wordsó past and presentófrom across the English-speaking world.<p>As a historical dictionary, the OED is very different from Dictionaries of current English, in which the focus is on present-day meanings. Youíll still find present-day meanings in the OED, but youíll also find the history of individual words, and of the languageótraced through 3 million quotations, from classic literature and specialist periodicals to film scripts and cookery books.<p>The OED started life more than 150 years ago. Today, the dictionary is in the process of its first major revision. Updates revise and extend the OED at regular intervals, each time subtly adjusting our image of the English language.<p>[From vendor]<p>Updated: April 20, 2015""",Oxford University Press,1150 AD - present,FullText,http://public.oed.com/about/,"To view your institution's usage reports, go to <a href=""http://dictionary.oed.com:80/cgi/instusage"">http://dictionary.oed.com:80/cgi/instusage</a>and enter your username and password.  If you have forgotten your username and password, there is a form on this page for you to fill out.",61,#N/A,,
85,CBCA Business,"Canadian Business & Current Affairs (CBCA) Business provides in-depth access to a broad range of Canadian business periodicals. It satisfies the information needs of business professionals, journalists, students, and teachers interested in business issues in Canada. Over 500 journals make up the collection, with file depth back to the early 1970s. Trade journals, general business publications, academic journals, topical journals, and professional publications are all included.<p>Updated: December 6, 2013""",ProQuest,1971 - present,"Index,Abstract,FullText",http://www.proquest.com/libraries/academic/databases/cbca_business.html,"ProQuest Statistics:<br>Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""""http://proquest.umi.com/lad"""">http://proquest.umi.com/lad</a>",62,http://tls.proquest.com/tls/servlet/ProductSearch?platformID=1&externalID=14400&vdID=1,,
87,CBCA Complete,"Canadian Business & Current Affairs (CBCA) Complete is the nation's largest and most comprehensive bibliographic full-text reference and current events database. Available through the ProQuest Web interface, CBCA Complete combines full text and indexed content from all four CBCA database subsets (Business, Current Events, Education, and Reference). Subject coverage is comprehensive and information is available from the broadest range of Canadian sources anywhere. With over 4.5 million records and more than 1,730 titles, CBCA Complete is ideal for anyone interested in current events, business, science, the arts, and academic information as produced in Canada.<p>CBCA Complete combines high-quality indexing with direct access to full-text articles. This includes nearly 640 periodicals and daily news sources (over 480 of which are Canadian), plus indexing to an additional 1,100 other titles (over 95% Canadian).<p>[From vendor]<p>Updated: May 6, 2015""",ProQuest,1971 - present,"Index,Abstract,FullText",http://www.proquest.com/libraries/academic/databases/cbca.html,"ProQuest usage statistics:<br>Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""""http://proquest.umi.com/lad"""">http://proquest.umi.com/lad</a><ol><li>Click """"Usage Report.""""<li>Select the report type. Several options are available.<li>Select the time period you want covered by the report (""""Usage Period"""")<li>Select the delivery method: email or display to screen.If you have any questions, please contact ProQuest customer service (phone and email given above.)</ol>""",62,http://tls.proquest.com/tls/servlet/ProductSearch?platformID=1&externalID=14480&vdID=1,,
29,netLibrary,"netLibrary is now an EBSCO product.  For customer service, including authentication issues, contact:<p>General Technical Support Questions:<br>EBSCO Publishing Technical Support<br>1-800-758-5995 option #3<br><a href=""""mailto:support@ebsco.com"""">support@ebsco.com</a><p>netLibrary offers an easy-to-use information and retrieval system for accessing the full text of reference, scholarly, and professional books.</P><p>The BC ELN netLibrary collection is purchased on a perpetual access basis for all participating libraries - there are no annual access fees.  The initial collection was purchased in 2001.  New titles were added in 2003, 2004, and 2005, 2006, and 2007.<P>BC ELN's shared collection of 823 ebook titles is a strong, broad mix of theoretical, practical, applied and general interest titles across all business subject areas: accounting, e-commerce, enterpreneurship, economics and global economy, finance and banking.  The collection includes works from leading business and economic scholars and key publishers of business information.</P><P>MARC records for every title in the shared collection are available for intergration into local library catalogues, allowing library users to search for and find titles in the ebook collection in the same way that they are accustomed to finding other library resources.  Once an ebook is located in the OPAC, it can be accessed via the hyperlink (or URL) in the 856 field.</P>Last updated: July 1, 2011""",netLibrary,1971-2007,FullText,,,53,http://www.eln.bc.ca/view.php?id=2280,,
152,Oxford History of Western Music,"The acclaimed Oxford History of Western Music offers an unmatched narrative account of the evolution of Western classical music by one of the most prominent and provocative musicologists of our time, Richard Taruskin. This landmark study has received universal acclaim and major awards in the field, and it is now being offered for the first time in an interactive digital format.<p>This e-book includes:<ul><li>The full text (five thick volumes in print) from The Oxford History of Western Music (OUP 2009) with notes, bibliographies and further readings for all 69 chapters</li><li>500 illustrations, 1,800 musical examples & index from the 2009 print edition</li><li>More than 1,700 editorially-selected links to relevant entries in Grove Music Online</li></ul></p><p>[From vendor]<p>Updated: December 6, 2013""",Oxford University Press,8th CE to Present,"Index,FullText",http://www.oxfordwesternmusic.com/page/About/about,,60,#N/A,,
90,PsycBOOKS,"Significant in scope and depth, PsycBOOKS is the most current and only comprehensive collection of full-text APA-published scholarly and professional books. This extensive collection of current and classic peer-reviewed books provides a pathway through the evolution of psychological thought, giving students, researchers, and educators access to high-quality publications in psychology and related fields.<p>PsycBOOKS offers a time-tested view of psychological knowledge, from the most current APA publications covering contemporary research including the application of clinical theory and practice, to the historic underpinnings of modern psychology. Thousands of books and chapters provide users insights into the development of psychological knowledge from the early 1600s to 21st-century applications. The inclusion of hard-to-find, out-of-print books and more than 3,000 classic resources makes PsycBOOKS a crucial research tool for psychology and the behavioral sciences.<p>[From vendor]<p>Last updated: March 13, 2015""",American Psychological Association,,,http://www.ebscohost.com/academic/psycbooks,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,#N/A,,
69,Hoover's Company Records,"Hoover's Company Records is a valuable resource for academic libraries. Users can integrate business information from one of the worldís leading electronic distributors of information about companies, industries, and the people who lead them.<p>Featuring profiles of more than 40,000 companies, 600 industries, and 225,000 key executives, Hoover's Company Records provides easy access to the most thorough and up-to-date business information available. This comprehensive database gives users the whole picture, including:<ul><li>Company overview<li>Company history<li>Officers and board members <li>Competitors <li>Products and operations<li>Auditors<li>Rankings <li>Related industry information<li>Historical financials</ul>[From vendor]<p>Last updated: March 12, 2015""",ProQuest,,"Index,Abstract",http://www.proquest.com/products-services/hoovers_co_records.html,"How to obtain Usage Statistics<BR>Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com). To login to the ProQuest Local Administrator, point your browser to <a href=""""http://proquest.umi.com/lad"""">http://proquest.umi.com/lad</a><P>1.	Click """"Usage Report."""" <BR>2.	Select the report type. Several options are available. <BR>3.	Select the time period you want covered by the report (""""Usage Period"""") <BR>4.	Select the delivery method: email or display to screen. If you have any questions, please contact ProQuest customer service (phone and email given above.)""",62,#N/A,,
36,KnowBC,"KnowBC was launched in 2001 as the online edition of Harbour Publishingís <i>Encyclopedia of British Columbia</i>(EBC).<p>This new version of KnowBC represents a comprehensive redevelopment that will consolidate KnowBCís standing as British Columbiaís leading general reference site. The original hard-coded pages were replaced by a state-of-the-art Content Management System (CMS) that will allow enhancements and additions to occur more readily than in the past.<p>EBC is the definitive reference work on BC. With more than 4,000 entries and 1,500 accompanying photographs, maps, charts and tables, as well as sound and video clips, EBC is the source of readable and authoritative information on all the significant BC people, places and things.<p>New 2014 features include:<ul><li>New material on World War One, based on the book From the West Coast to the Western Front: British Columbians and the Great War, by Mark Forsythe and Greg Dickson</li><li>Major expansion of the BC natural history content, including seven new works on geology, flowers, shells and shellfish, birds, wildlife and trees</li><li>New and updated pages added weekly: videos, maps, feature articles, and related online and print resources</li><li>An all-new blog on all things British Columbian by EBC editor Daniel Francis (in addition to the ongoing KnowBC and Marine Life blogs)</li></ul><p>[From vendor]<p>Last updated: September 24, 2014""",Harbour Publishing,,FullText,http://knowbc.com/knowbc/About-KnowBC,"Logins for October 2010 through August 2, 2011 can be downloaded from <a href=""http://www.eln.bc.ca/docs/view.php?id=629"">http://www.eln.bc.ca/docs/view.php?id=629</a>",54,http://knowbc.com/knowbc/Books/MARC-records,,
38,Oxford Music,"Oxford Music Online is the gateway offering users the ability to access and cross-search multiple music reference resources in one location. With Grove Music Online as its cornerstone, Oxford Music Online also contains The Oxford Companion to Music (2002), which offers more than 8,000 articles on composers, performers, conductors, instruments and notation, forms and genres, and individual works; and The Oxford Dictionary of Music, 2nd edition (revised 2006), which supplements Grove's more extensive articles with content geared toward undergraduates and general users. Both of these sources are included in subscriptions to Grove Music Online. [From vendor] Updated: April 22, 2015""",Oxford,1878 to present,FullText,http://www.oxfordmusiconline.com/public/about,,61,#N/A,,
39,MLA International Bibliography,"MLA International Bibliography offers a detailed bibliography of journal articles, books and dissertations. Produced by the Modern Language Association (MLA), the electronic version of the bibliography dates back to the 1920s and contains over 2.3 million citations from more than 4,400 journals & series, and 1,000 book publishers.<p>The indexed materials coverage is international and includes almost 60 titles from J-STOR's language and literature collection as well as links to full text. This database includes journal abbreviations and acronyms for almost 3,500 titles, with full journal names standardized and ISSNs attached.<p>MLA International Bibliography also contains nearly 11,000 subject names and terms. Subjects consist of literature, language and linguistics, folklore, literary theory & criticism, dramatic arts, as well as the historical aspects of printing and publishing. Listings on rhetoric and composition and the history, theory and practice of teaching language and literature are also included. In addition to the bibliography, the database includes the MLA Directory of Periodicals the association's proprietary thesaurus used to assign descriptors to each record in the bibliography and a proprietary, searchable directory of noted authors' names, with links to brief descriptive notes.<p>[From Vendor]<P>Last updated: December 2, 2013<p>""",Modern Language Association of America,1963 to present,Index,http://www.ebscohost.com/academic/mla-international-bibliography,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,#N/A,,
